Source,Target,Type,Id,Label,Weight
4949,5572,Directed,32216,,1
4949,6332,Directed,32215,,1
4949,5553,Directed,32214,,1
4949,6493,Directed,32213,,1
4949,6492,Directed,32212,,1
4949,4136,Directed,32205,,1
4949,1963,Directed,32203,,1
4949,5529,Directed,32202,,1
4949,6830,Directed,32200,,1
4949,5483,Directed,32195,,1
4949,6383,Directed,32190,,1
4949,5447,Directed,32188,,1
4949,5446,Directed,32187,,1
4949,6327,Directed,32181,,1
4949,6323,Directed,32179,,1
4949,5393,Directed,32176,,1
4949,5380,Directed,32172,,1
4949,5149,Directed,32169,,1
4949,6491,Directed,32165,,1
4949,6231,Directed,32159,,1
4949,5302,Directed,32158,,1
4949,1884,Directed,32156,,1
4949,863,Directed,32153,,1
4949,6205,Directed,32151,,1
4942,4949,Directed,32128,,1
4876,4949,Directed,31962,,1
4858,4949,Directed,31898,,1
4850,4949,Directed,31881,,1
5482,4949,Directed,31744,,1
4783,4949,Directed,31725,,1
4757,4949,Directed,31664,,1
4698,4949,Directed,31470,,1
6716,4949,Directed,31349,,1
4615,4949,Directed,31175,,1
4597,4949,Directed,31133,,1
4588,4949,Directed,31100,,1
4498,4949,Directed,30873,,1
4447,4949,Directed,30724,,1
4418,4949,Directed,30623,,1
4401,4949,Directed,30515,,1
4330,4949,Directed,30284,,1
4317,4949,Directed,30220,,1
5408,4949,Directed,30171,,1
4284,4949,Directed,30111,,1
4249,4949,Directed,30001,,1
4235,4949,Directed,29912,,1
4128,4949,Directed,29761,,1
4173,4949,Directed,29533,,1
3605,4949,Directed,29285,,1
4111,4949,Directed,29256,,1
4101,4949,Directed,29240,,1
4098,4949,Directed,29224,,1
3241,4949,Directed,29048,,1
3976,4949,Directed,28752,,1
7059,4949,Directed,28680,,1
3935,4949,Directed,28606,,1
3925,4949,Directed,28550,,1
3905,4949,Directed,28483,,1
3895,4949,Directed,28374,,1
3868,4949,Directed,28304,,1
5918,4949,Directed,28182,,1
3807,4949,Directed,28033,,1
3797,4949,Directed,28000,,1
3746,4949,Directed,27742,,1
3742,4949,Directed,27707,,1
3713,4949,Directed,27571,,1
3651,4949,Directed,27243,,1
3621,4949,Directed,27088,,1
3616,4949,Directed,27074,,1
3591,4949,Directed,26990,,1
3570,4949,Directed,26893,,1
3566,4949,Directed,26859,,1
3556,4949,Directed,26828,,1
3533,4949,Directed,26782,,1
187,4949,Directed,26759,,1
3506,4949,Directed,26669,,1
3424,4949,Directed,26304,,1
3419,4949,Directed,26289,,1
3416,4949,Directed,26272,,1
3392,4949,Directed,25969,,1
3389,4949,Directed,25965,,1
3345,4949,Directed,25847,,1
3326,4949,Directed,25801,,1
3312,4949,Directed,25701,,1
3285,4949,Directed,25562,,1
3219,4949,Directed,25159,,1
3204,4949,Directed,25103,,1
3055,4949,Directed,24536,,1
3053,4949,Directed,24526,,1
3047,4949,Directed,24501,,1
3026,4949,Directed,24358,,1
2997,4949,Directed,24255,,1
2937,4949,Directed,23865,,1
2931,4949,Directed,23809,,1
2889,4949,Directed,23558,,1
6898,4949,Directed,23440,,1
3762,4949,Directed,23379,,1
6372,4949,Directed,23201,,1
2781,4949,Directed,22816,,1
2762,4949,Directed,22669,,1
2740,4949,Directed,22539,,1
2995,4949,Directed,22455,,1
2734,4949,Directed,22446,,1
2723,4949,Directed,22246,,1
2693,4949,Directed,22049,,1
2678,4949,Directed,21971,,1
2632,4949,Directed,21432,,1
2592,4949,Directed,21267,,1
2577,4949,Directed,21143,,1
2571,4949,Directed,21112,,1
2552,4949,Directed,21022,,1
2531,4949,Directed,20905,,1
2524,4949,Directed,20816,,1
2522,4949,Directed,20796,,1
2517,4949,Directed,20784,,1
2484,4949,Directed,20603,,1
2422,4949,Directed,19857,,1
2420,4949,Directed,19845,,1
2398,4949,Directed,19734,,1
2338,4949,Directed,19359,,1
2301,4949,Directed,19146,,1
2297,4949,Directed,19130,,1
6291,4949,Directed,19111,,1
2252,4949,Directed,18870,,1
2225,4949,Directed,18756,,1
2143,4949,Directed,18194,,1
2138,4949,Directed,18170,,1
2132,4949,Directed,18158,,1
2130,4949,Directed,18146,,1
2104,4949,Directed,17951,,1
2095,4949,Directed,17895,,1
1495,4949,Directed,17777,,1
2059,4949,Directed,17662,,1
2035,4949,Directed,17539,,1
2033,4949,Directed,17518,,1
2026,4949,Directed,17402,,1
2019,4949,Directed,17345,,1
1984,4949,Directed,17077,,1
1959,4949,Directed,16859,,1
1944,4949,Directed,16798,,1
1924,4949,Directed,16624,,1
1911,4949,Directed,16430,,1
1836,4949,Directed,15860,,1
1812,4949,Directed,15695,,1
1805,4949,Directed,15643,,1
1799,4949,Directed,15565,,1
4030,4949,Directed,15535,,1
1753,4949,Directed,14635,,1
1731,4949,Directed,14524,,1
1728,4949,Directed,14518,,1
3399,4949,Directed,14296,,1
1694,4949,Directed,14243,,1
1653,4949,Directed,14060,,1
1601,4949,Directed,13729,,1
1593,4949,Directed,13534,,1
1577,4949,Directed,13430,,1
1557,4949,Directed,13314,,1
1555,4949,Directed,13290,,1
1520,4949,Directed,13049,,1
1496,4949,Directed,12902,,1
1439,4949,Directed,12434,,1
1413,4949,Directed,12178,,1
1407,4949,Directed,12142,,1
1377,4949,Directed,11910,,1
1298,4949,Directed,11498,,1
1272,4949,Directed,11319,,1
1235,4949,Directed,11167,,1
1219,4949,Directed,11035,,1
1186,4949,Directed,10899,,1
1146,4949,Directed,10517,,1
1140,4949,Directed,10434,,1
1131,4949,Directed,10397,,1
1126,4949,Directed,10373,,1
1089,4949,Directed,9876,,1
1076,4949,Directed,9772,,1
1024,4949,Directed,9471,,1
1016,4949,Directed,9453,,1
965,4949,Directed,9079,,1
952,4949,Directed,9012,,1
882,4949,Directed,8449,,1
865,4949,Directed,8184,,1
859,4949,Directed,8155,,1
857,4949,Directed,8119,,1
855,4949,Directed,8105,,1
811,4949,Directed,7895,,1
804,4949,Directed,7783,,1
779,4949,Directed,7483,,1
724,4949,Directed,7086,,1
652,4949,Directed,6551,,1
6178,4949,Directed,6398,,1
3842,4949,Directed,6366,,1
587,4949,Directed,6118,,1
548,4949,Directed,5575,,1
539,4949,Directed,5524,,1
475,4949,Directed,4934,,1
466,4949,Directed,4875,,1
434,4949,Directed,4577,,1
428,4949,Directed,4466,,1
422,4949,Directed,4436,,1
5953,4949,Directed,3970,,1
278,4949,Directed,3040,,1
269,4949,Directed,2988,,1
237,4949,Directed,2703,,1
178,4949,Directed,2120,,1
157,4949,Directed,1575,,1
95,4949,Directed,1016,,1
62,4949,Directed,640,,1
37,4949,Directed,523,,1
6726,4949,Directed,73,,1
3706,4756,Directed,27544,,1
3706,6881,Directed,27543,,1
3706,4374,Directed,27540,,1
3706,7110,Directed,27539,,1
3706,6506,Directed,27538,,1
3706,6765,Directed,27537,,1
3706,2874,Directed,27535,,1
3706,6548,Directed,27534,,1
3706,6293,Directed,27533,,1
3706,4896,Directed,27532,,1
3706,5192,Directed,27530,,1
3706,5658,Directed,27527,,1
3706,5488,Directed,27521,,1
3706,5633,Directed,27520,,1
3706,1913,Directed,27519,,1
3706,5646,Directed,27517,,1
3706,6814,Directed,27515,,1
3706,5639,Directed,27514,,1
3706,4769,Directed,27513,,1
3706,1356,Directed,27512,,1
3706,3207,Directed,27511,,1
3706,6800,Directed,27509,,1
3706,2960,Directed,27506,,1
3706,1242,Directed,27505,,1
3706,5184,Directed,27502,,1
3706,3743,Directed,27501,,1
3706,4301,Directed,27500,,1
3706,4249,Directed,27497,,1
3706,6535,Directed,27495,,1
3706,4269,Directed,27494,,1
3706,5594,Directed,27491,,1
3706,4482,Directed,27489,,1
3706,5582,Directed,27488,,1
3706,5154,Directed,27487,,1
3706,4486,Directed,27485,,1
3706,5765,Directed,27484,,1
3706,4477,Directed,27479,,1
3706,4907,Directed,27477,,1
3706,734,Directed,27476,,1
3706,4018,Directed,27474,,1
3706,3979,Directed,27473,,1
3706,6327,Directed,27472,,1
3706,6019,Directed,27471,,1
3706,3597,Directed,27469,,1
3706,3991,Directed,27468,,1
3706,6463,Directed,27467,,1
3706,4426,Directed,27466,,1
3706,5632,Directed,27465,,1
3706,5654,Directed,27464,,1
3706,1511,Directed,27463,,1
3706,863,Directed,27458,,1
3706,1349,Directed,27451,,1
3706,4615,Directed,27449,,1
3706,432,Directed,27447,,1
4132,3706,Directed,27419,,1
3587,3706,Directed,26979,,1
3541,3706,Directed,26793,,1
3516,3706,Directed,26698,,1
3443,3706,Directed,26391,,1
3424,3706,Directed,26303,,1
3211,3706,Directed,25139,,1
4510,3706,Directed,24657,,1
2920,3706,Directed,23705,,1
2905,3706,Directed,23646,,1
6898,3706,Directed,23438,,1
2868,3706,Directed,23319,,1
4672,3706,Directed,21132,,1
6937,3706,Directed,21115,,1
2495,3706,Directed,20662,,1
2481,3706,Directed,20574,,1
2455,3706,Directed,20268,,1
2429,3706,Directed,19893,,1
2390,3706,Directed,19693,,1
2341,3706,Directed,19390,,1
1517,3706,Directed,18992,,1
2254,3706,Directed,18880,,1
2194,3706,Directed,18563,,1
2161,3706,Directed,18265,,1
2103,3706,Directed,17950,,1
1495,3706,Directed,17776,,1
1996,3706,Directed,17174,,1
342,3706,Directed,17110,,1
1677,3706,Directed,14148,,1
1601,3706,Directed,13746,,1
1589,3706,Directed,13490,,1
1538,3706,Directed,13175,,1
1476,3706,Directed,12708,,1
1464,3706,Directed,12585,,1
1342,3706,Directed,11718,,1
1142,3706,Directed,10468,,1
1136,3706,Directed,10423,,1
1128,3706,Directed,10383,,1
1048,3706,Directed,9636,,1
970,3706,Directed,9099,,1
935,3706,Directed,8844,,1
919,3706,Directed,8669,,1
855,3706,Directed,8106,,1
796,3706,Directed,7761,,1
6515,3706,Directed,7536,,1
720,3706,Directed,7059,,1
690,3706,Directed,6864,,1
619,3706,Directed,6318,,1
5964,3706,Directed,4553,,1
1848,3706,Directed,3227,,1
284,3706,Directed,3067,,1
210,3706,Directed,2436,,1
166,3706,Directed,1899,,1
3285,5237,Directed,25612,,1
3285,7005,Directed,25611,,1
3285,6888,Directed,25610,,1
3285,6146,Directed,25605,,1
3285,5956,Directed,25604,,1
3285,6393,Directed,25603,,1
3285,4593,Directed,25602,,1
3285,4589,Directed,25598,,1
3285,6080,Directed,25596,,1
3285,6382,Directed,25595,,1
3285,4792,Directed,25592,,1
3285,7088,Directed,25590,,1
3285,5681,Directed,25589,,1
3285,4786,Directed,25588,,1
3285,5002,Directed,25586,,1
3285,3667,Directed,25583,,1
3285,3443,Directed,25582,,1
3285,3440,Directed,25580,,1
3285,6130,Directed,25578,,1
3285,5639,Directed,25577,,1
3285,4313,Directed,25575,,1
3285,5154,Directed,25574,,1
3285,4954,Directed,25565,,1
3285,3855,Directed,25561,,1
3285,276,Directed,25560,,1
3285,3851,Directed,25558,,1
3285,3168,Directed,25556,,1
3285,3847,Directed,25555,,1
3285,3863,Directed,25554,,1
3285,5162,Directed,25553,,1
3285,4719,Directed,25552,,1
3285,6522,Directed,25551,,1
3285,4926,Directed,25550,,1
3285,4252,Directed,25548,,1
3285,5775,Directed,25547,,1
3285,3155,Directed,25546,,1
3285,6281,Directed,25545,,1
3285,4018,Directed,25539,,1
3285,5329,Directed,25538,,1
3285,5542,Directed,25527,,1
3285,5959,Directed,25526,,1
3285,4380,Directed,25525,,1
3285,1533,Directed,25524,,1
3285,5530,Directed,25523,,1
3285,5945,Directed,25520,,1
3285,4191,Directed,25518,,1
3285,3746,Directed,25517,,1
3285,5983,Directed,25516,,1
3285,4839,Directed,25514,,1
3285,4347,Directed,25513,,1
3285,4834,Directed,25511,,1
3285,5051,Directed,25508,,1
3139,3285,Directed,24918,,1
4510,3285,Directed,24656,,1
3053,3285,Directed,24530,,1
3026,3285,Directed,24357,,1
3001,3285,Directed,24266,,1
2944,3285,Directed,23893,,1
2853,3285,Directed,23265,,1
2825,3285,Directed,23125,,1
2797,3285,Directed,22957,,1
2741,3285,Directed,22597,,1
2692,3285,Directed,22046,,1
2630,3285,Directed,21422,,1
2614,3285,Directed,21369,,1
6328,3285,Directed,20986,,1
2498,3285,Directed,20680,,1
3923,3285,Directed,20214,,1
2299,3285,Directed,19132,,1
2277,3285,Directed,19071,,1
2238,3285,Directed,18799,,1
2138,3285,Directed,18172,,1
6901,3285,Directed,17267,,1
1996,3285,Directed,17155,,1
1883,3285,Directed,16238,,1
1773,3285,Directed,15146,,1
3857,3285,Directed,14718,,1
1728,3285,Directed,14517,,1
1716,3285,Directed,14431,,1
1680,3285,Directed,14172,,1
1585,3285,Directed,13474,,1
1488,3285,Directed,12870,,1
1382,3285,Directed,11953,,1
1255,3285,Directed,11247,,1
1115,3285,Directed,10315,,1
1089,3285,Directed,9867,,1
938,3285,Directed,8868,,1
152,3285,Directed,8738,,1
904,3285,Directed,8589,,1
795,3285,Directed,7757,,1
605,3285,Directed,6224,,1
602,3285,Directed,6187,,1
581,3285,Directed,5826,,1
3581,3285,Directed,5399,,1
501,3285,Directed,5270,,1
281,3285,Directed,3053,,1
229,3285,Directed,2660,,1
212,3285,Directed,2506,,1
94,3285,Directed,999,,1
24,3285,Directed,222,,1
5292,7124,Directed,33144,,1
5393,7121,Directed,33514,,1
1214,7121,Directed,4678,,1
1924,7119,Directed,16728,,1
920,7119,Directed,8690,,1
581,7119,Directed,6044,,1
3732,7118,Directed,11856,,1
166,7118,Directed,1978,,1
5328,7117,Directed,33273,,1
2201,7117,Directed,8314,,1
3097,7113,Directed,31579,,1
7069,7110,Directed,35322,,1
5574,7110,Directed,33927,,1
4406,7110,Directed,30593,,1
6136,7110,Directed,21930,,1
1773,7110,Directed,15262,,1
1142,7110,Directed,10471,,1
5810,7107,Directed,34300,,1
5634,7107,Directed,34022,,1
4245,7107,Directed,29985,,1
3576,7107,Directed,26916,,1
3171,7107,Directed,24999,,1
5114,7107,Directed,20617,,1
2424,7100,Directed,19860,,1
1883,7095,Directed,16314,,1
1773,7095,Directed,15255,,1
1229,7095,Directed,11114,,1
4380,7090,Directed,35301,,1
2548,7090,Directed,32745,,1
4007,7090,Directed,28894,,1
2938,7090,Directed,23868,,1
2677,7090,Directed,21957,,1
2634,7090,Directed,21443,,1
1269,7090,Directed,11314,,1
166,7090,Directed,1955,,1
5945,7088,Directed,34562,,1
3168,7088,Directed,32726,,1
3440,7088,Directed,26388,,1
1848,7088,Directed,3226,,1
4482,7082,Directed,30816,,1
2825,7082,Directed,23123,,1
2481,7082,Directed,20565,,1
1149,7082,Directed,10540,,1
7076,6545,Directed,28678,,1
5122,7076,Directed,20939,,1
5302,7074,Directed,33185,,1
6530,7073,Directed,35153,,1
4136,7069,Directed,35314,,1
6981,7069,Directed,35310,,1
6532,7069,Directed,35154,,1
6457,7069,Directed,35091,,1
5712,7069,Directed,34103,,1
5663,7069,Directed,34044,,1
5582,7069,Directed,33958,,1
5542,7069,Directed,33856,,1
5238,7069,Directed,33021,,1
823,7069,Directed,32884,,1
5154,7069,Directed,32842,,1
5147,7069,Directed,32827,,1
5015,7069,Directed,32521,,1
4996,7069,Directed,32477,,1
4313,7069,Directed,30201,,1
3905,7069,Directed,28484,,1
3855,7069,Directed,28271,,1
3841,7069,Directed,28185,,1
3679,7069,Directed,27325,,1
3416,7069,Directed,26271,,1
3221,7069,Directed,25172,,1
3106,7069,Directed,24775,,1
3064,7069,Directed,24554,,1
3026,7069,Directed,24354,,1
2835,7069,Directed,23181,,1
2781,7069,Directed,22791,,1
2740,7069,Directed,22485,,1
2722,7069,Directed,22225,,1
6136,7069,Directed,21714,,1
2549,7069,Directed,21001,,1
2175,7069,Directed,18378,,1
1822,7069,Directed,15791,,1
1718,7069,Directed,14438,,1
1683,7069,Directed,14192,,1
1215,7069,Directed,11018,,1
1132,7069,Directed,10402,,1
916,7069,Directed,8643,,1
387,7069,Directed,4165,,1
226,7069,Directed,2649,,1
46,7069,Directed,557,,1
38,7069,Directed,524,,1
104,7069,Directed,126,,1
7068,6742,Directed,28324,,1
7068,5223,Directed,28322,,1
3744,7068,Directed,27736,,1
2573,7068,Directed,21121,,1
1523,7068,Directed,13060,,1
102,7068,Directed,1056,,1
6742,7066,Directed,35246,,1
585,7066,Directed,6101,,1
6147,7065,Directed,34877,,1
6808,7065,Directed,33113,,1
4863,7065,Directed,31919,,1
4791,7065,Directed,31739,,1
4568,7065,Directed,31027,,1
3577,7065,Directed,26921,,1
4864,7065,Directed,24865,,1
2817,7065,Directed,23060,,1
1773,7065,Directed,14889,,1
4973,7065,Directed,14342,,1
7062,5810,Directed,24428,,1
6895,7057,Directed,35293,,1
6009,7057,Directed,34648,,1
5810,7057,Directed,34295,,1
3145,7057,Directed,24929,,1
327,7057,Directed,3458,,1
4709,7056,Directed,31536,,1
3949,7056,Directed,28651,,1
2661,7056,Directed,21623,,1
7055,4290,Directed,35236,,1
7055,6991,Directed,35235,,1
5101,7055,Directed,32757,,1
5002,7055,Directed,32486,,1
4717,7055,Directed,31567,,1
4695,7055,Directed,31459,,1
4482,7055,Directed,30814,,1
4479,7055,Directed,30801,,1
4291,7055,Directed,30125,,1
3517,7055,Directed,26703,,1
2731,7055,Directed,22277,,1
2677,7055,Directed,21961,,1
2254,7055,Directed,18875,,1
796,7055,Directed,7764,,1
664,7055,Directed,6604,,1
506,7055,Directed,5305,,1
166,7055,Directed,1924,,1
113,7055,Directed,1118,,1
5927,7054,Directed,34532,,1
4717,7054,Directed,31568,,1
4695,7054,Directed,31456,,1
4477,7054,Directed,30781,,1
4176,7054,Directed,29567,,1
4053,7054,Directed,29042,,1
4032,7054,Directed,28975,,1
3743,7054,Directed,27729,,1
3128,7054,Directed,24878,,1
2825,7054,Directed,23104,,1
2503,7054,Directed,20708,,1
2481,7054,Directed,20486,,1
6515,7054,Directed,7537,,1
261,7054,Directed,2940,,1
166,7054,Directed,1738,,1
20,7054,Directed,142,,1
6661,7051,Directed,35188,,1
6105,7051,Directed,34832,,1
5458,7051,Directed,33701,,1
4170,7051,Directed,29522,,1
3029,7051,Directed,24360,,1
2781,7051,Directed,22798,,1
2004,7051,Directed,17198,,1
1131,7051,Directed,10396,,1
1,7051,Directed,105,,1
7048,3150,Directed,9027,,1
4698,7046,Directed,31473,,1
4426,7046,Directed,30635,,1
3855,7046,Directed,28280,,1
3651,7046,Directed,27244,,1
1883,7046,Directed,16283,,1
6090,7046,Directed,7269,,1
6806,7043,Directed,35266,,1
5995,7043,Directed,34634,,1
5759,7043,Directed,34186,,1
3973,7043,Directed,33841,,1
5402,7043,Directed,33528,,1
5355,7043,Directed,33412,,1
5234,7043,Directed,33016,,1
5154,7043,Directed,32843,,1
4709,7043,Directed,31533,,1
